frame,slot,ue,rapid,total_cce,occupied,free,agg,cand,result
892,10,59cb,0,8,0,8,4,2,success
892,10,b63f,1,8,4,4,4,2,success
892,10,80a2,,8,8,0,4,2,fail
892,10,3303,,8,8,0,4,2,fail
892,17,80a2,2,8,0,8,4,2,success
892,17,3303,3,8,4,4,4,2,success
894,10,436e,0,8,0,8,4,2,success
894,10,dad4,1,8,4,4,4,2,success
894,10,46b6,,8,8,0,4,2,fail
894,10,2141,,8,8,0,4,2,fail
894,17,46b6,2,8,0,8,4,2,success
894,17,2141,3,8,4,4,4,2,success
896,10,d17b,0,8,0,8,4,2,success
896,10,8479,1,8,4,4,4,2,success
896,10,fdcb,,8,8,0,4,2,fail
896,10,b424,,8,8,0,4,2,fail
896,17,fdcb,2,8,0,8,4,2,success
896,17,b424,3,8,4,4,4,2,success
898,10,48be,0,8,0,8,4,2,success
898,10,7749,1,8,4,4,4,2,success
898,10,02c1,,8,8,0,4,2,fail
898,10,b069,,8,8,0,4,2,fail
898,17,02c1,2,8,0,8,4,2,success
898,17,b069,3,8,4,4,4,2,success
900,10,5bf0,0,8,0,8,4,2,success
900,10,a381,1,8,4,4,4,2,success
900,10,0ce4,,8,8,0,4,2,fail
900,10,9894,,8,8,0,4,2,fail
900,17,0ce4,2,8,0,8,4,2,success
900,17,9894,3,8,4,4,4,2,success
902,10,3a5b,0,8,0,8,4,2,success
902,10,9348,1,8,4,4,4,2,success
902,10,5e84,,8,8,0,4,2,fail
902,10,c6cd,,8,8,0,4,2,fail
902,17,5e84,2,8,0,8,4,2,success
902,17,c6cd,3,8,4,4,4,2,success
904,10,bf0a,0,8,0,8,4,2,success
904,10,4765,1,8,4,4,4,2,success
904,10,0639,,8,8,0,4,2,fail
904,10,e28e,,8,8,0,4,2,fail
904,17,0639,2,8,0,8,4,2,success
904,17,e28e,3,8,4,4,4,2,success
906,10,987b,0,8,0,8,4,2,success
906,10,3d37,1,8,4,4,4,2,success
906,10,76d3,,8,8,0,4,2,fail
906,10,5d5b,,8,8,0,4,2,fail
906,17,76d3,2,8,0,8,4,2,success
906,17,5d5b,3,8,4,4,4,2,success
