frame,slot,ue,rapid,total_cce,occupied,free,agg,cand,result
730,10,2441,,8,8,0,4,2,fail
730,10,cb56,,8,8,0,4,2,fail
730,17,2441,2,8,0,8,4,2,success
730,17,cb56,3,8,4,4,4,2,success
732,10,f6fb,0,8,0,8,4,2,success
732,10,7e24,1,8,4,4,4,2,success
732,10,2b9f,,8,8,0,4,2,fail
732,10,04ae,,8,8,0,4,2,fail
732,17,2b9f,2,8,0,8,4,2,success
732,17,04ae,3,8,4,4,4,2,success
734,10,04ee,0,8,0,8,4,2,success
734,10,1e7f,1,8,4,4,4,2,success
734,10,c956,,8,8,0,4,2,fail
734,10,628b,,8,8,0,4,2,fail
734,17,c956,2,8,0,8,4,2,success
734,17,628b,3,8,4,4,4,2,success
736,10,9b1e,0,8,0,8,4,2,success
736,10,ee07,1,8,4,4,4,2,success
736,10,2945,,8,8,0,4,2,fail
736,10,5114,,8,8,0,4,2,fail
736,17,2945,2,8,0,8,4,2,success
736,17,5114,3,8,4,4,4,2,success
738,10,74f6,0,8,0,8,4,2,success
738,10,593b,1,8,4,4,4,2,success
738,10,b0e7,,8,8,0,4,2,fail
738,10,d9fc,,8,8,0,4,2,fail
738,17,b0e7,2,8,0,8,4,2,success
738,17,d9fc,3,8,4,4,4,2,success
740,10,70c3,0,8,0,8,4,2,success
740,10,bf55,1,8,4,4,4,2,success
740,10,11ee,,8,8,0,4,2,fail
740,10,9ffa,,8,8,0,4,2,fail
740,17,11ee,2,8,0,8,4,2,success
740,17,9ffa,3,8,4,4,4,2,success
742,10,7215,0,8,0,8,4,2,success
742,10,1562,1,8,4,4,4,2,success
742,10,1f8b,,8,8,0,4,2,fail
742,10,4b50,,8,8,0,4,2,fail
742,17,1f8b,2,8,0,8,4,2,success
742,17,4b50,3,8,4,4,4,2,success
744,10,a917,0,8,0,8,4,2,success
744,10,8ae4,1,8,4,4,4,2,success
744,10,3d43,,8,8,0,4,2,fail
744,10,3b92,,8,8,0,4,2,fail
744,17,3d43,2,8,0,8,4,2,success
744,17,3b92,3,8,4,4,4,2,success
746,10,e8fc,0,8,0,8,4,2,success
746,10,e0c6,1,8,4,4,4,2,success
746,10,c14c,,8,8,0,4,2,fail
746,10,fd25,,8,8,0,4,2,fail
746,17,c14c,2,8,0,8,4,2,success
746,17,fd25,3,8,4,4,4,2,success
748,10,5196,0,8,0,8,4,2,success
748,10,c32f,1,8,4,4,4,2,success
748,10,4f57,,8,8,0,4,2,fail
748,10,8801,,8,8,0,4,2,fail
748,17,4f57,2,8,0,8,4,2,success
748,17,8801,3,8,4,4,4,2,success
750,10,923d,0,8,0,8,4,2,success
750,10,0d4f,1,8,4,4,4,2,success
750,10,8471,,8,8,0,4,2,fail
750,10,b1e6,,8,8,0,4,2,fail
750,17,8471,2,8,0,8,4,2,success
750,17,b1e6,3,8,4,4,4,2,success
752,10,bd93,0,8,0,8,4,2,success
752,10,c6b2,1,8,4,4,4,2,success
752,10,9848,,8,8,0,4,2,fail
752,10,1f26,,8,8,0,4,2,fail
752,17,9848,2,8,0,8,4,2,success
752,17,1f26,3,8,4,4,4,2,success
754,10,4253,0,8,0,8,4,2,success
754,10,4d07,1,8,4,4,4,2,success
754,10,dd04,,8,8,0,4,2,fail
754,10,7804,,8,8,0,4,2,fail
754,17,dd04,2,8,0,8,4,2,success
754,17,7804,3,8,4,4,4,2,success
756,10,2a81,0,8,0,8,4,2,success
756,10,e6b6,1,8,4,4,4,2,success
756,10,40bb,,8,8,0,4,2,fail
756,10,98cd,,8,8,0,4,2,fail
756,17,40bb,2,8,0,8,4,2,success
756,17,98cd,3,8,4,4,4,2,success
758,10,0788,0,8,0,8,4,2,success
758,10,96a1,1,8,4,4,4,2,success
758,10,feff,,8,8,0,4,2,fail
758,10,0bee,,8,8,0,4,2,fail
758,17,feff,2,8,0,8,4,2,success
758,17,0bee,3,8,4,4,4,2,success
760,10,1af6,0,8,0,8,4,2,success
760,10,400b,1,8,4,4,4,2,success
760,10,b9d4,,8,8,0,4,2,fail
760,10,5920,,8,8,0,4,2,fail
760,17,b9d4,2,8,0,8,4,2,success
760,17,5920,3,8,4,4,4,2,success
762,10,97e5,0,8,0,8,4,2,success
762,10,7ab1,1,8,4,4,4,2,success
762,10,14e0,,8,8,0,4,2,fail
762,10,11d7,,8,8,0,4,2,fail
762,17,14e0,2,8,0,8,4,2,success
762,17,11d7,3,8,4,4,4,2,success
764,10,56d1,0,8,0,8,4,2,success
764,10,925d,1,8,4,4,4,2,success
764,10,bbe9,,8,8,0,4,2,fail
764,10,77c9,,8,8,0,4,2,fail
764,17,bbe9,2,8,0,8,4,2,success
764,17,77c9,3,8,4,4,4,2,success
766,10,f075,0,8,0,8,4,2,success
766,10,6ba6,1,8,4,4,4,2,success
766,10,3f2e,,8,8,0,4,2,fail
766,10,a1cf,,8,8,0,4,2,fail
766,17,3f2e,2,8,0,8,4,2,success
766,17,a1cf,3,8,4,4,4,2,success
768,10,5d53,0,8,0,8,4,2,success
768,10,9307,1,8,4,4,4,2,success
768,10,d7f2,,8,8,0,4,2,fail
768,10,cb59,,8,8,0,4,2,fail
768,17,d7f2,2,8,0,8,4,2,success
768,17,cb59,3,8,4,4,4,2,success
770,10,379a,0,8,0,8,4,2,success
770,10,749d,1,8,4,4,4,2,success
770,10,8ed1,,8,8,0,4,2,fail
770,10,b159,,8,8,0,4,2,fail
770,17,8ed1,2,8,0,8,4,2,success
770,17,b159,3,8,4,4,4,2,success
772,10,5989,0,8,0,8,4,2,success
772,10,82e6,1,8,4,4,4,2,success
772,10,fa63,,8,8,0,4,2,fail
772,10,33fc,,8,8,0,4,2,fail
772,17,fa63,2,8,0,8,4,2,success
772,17,33fc,3,8,4,4,4,2,success
774,10,654d,0,8,0,8,4,2,success
774,10,97b2,1,8,4,4,4,2,success
774,10,eb18,,8,8,0,4,2,fail
774,10,641d,,8,8,0,4,2,fail
774,17,eb18,2,8,0,8,4,2,success
774,17,641d,3,8,4,4,4,2,success
776,10,e11e,0,8,0,8,4,2,success
776,10,2aca,1,8,4,4,4,2,success
776,10,49cd,,8,8,0,4,2,fail
776,10,e337,,8,8,0,4,2,fail
776,17,49cd,2,8,0,8,4,2,success
776,17,e337,3,8,4,4,4,2,success
778,10,01de,0,8,0,8,4,2,success
778,10,2a2b,1,8,4,4,4,2,success
778,10,f03d,,8,8,0,4,2,fail
778,10,df37,,8,8,0,4,2,fail
778,17,f03d,2,8,0,8,4,2,success
778,17,df37,3,8,4,4,4,2,success
780,10,5628,0,8,0,8,4,2,success
780,10,7220,1,8,4,4,4,2,success
780,10,6438,,8,8,0,4,2,fail
780,10,74ad,,8,8,0,4,2,fail
780,17,6438,2,8,0,8,4,2,success
780,17,74ad,3,8,4,4,4,2,success
782,10,127c,0,8,0,8,4,2,success
782,10,b128,1,8,4,4,4,2,success
782,10,d9fd,,8,8,0,4,2,fail
782,10,ae91,,8,8,0,4,2,fail
782,17,d9fd,2,8,0,8,4,2,success
782,17,ae91,3,8,4,4,4,2,success
784,10,bea7,0,8,0,8,4,2,success
784,10,56bf,1,8,4,4,4,2,success
784,10,072a,,8,8,0,4,2,fail
784,10,fa14,,8,8,0,4,2,fail
784,17,072a,2,8,0,8,4,2,success
784,17,fa14,3,8,4,4,4,2,success
786,10,8566,0,8,0,8,4,2,success
786,10,0a3d,1,8,4,4,4,2,success
786,10,c6b9,,8,8,0,4,2,fail
786,10,bc4b,,8,8,0,4,2,fail
786,17,c6b9,2,8,0,8,4,2,success
786,17,bc4b,3,8,4,4,4,2,success
788,10,1852,0,8,0,8,4,2,success
788,10,4735,1,8,4,4,4,2,success
788,10,ce4b,,8,8,0,4,2,fail
788,10,53ef,,8,8,0,4,2,fail
788,17,ce4b,2,8,0,8,4,2,success
788,17,53ef,3,8,4,4,4,2,success
790,10,1ea6,0,8,0,8,4,2,success
790,10,20c7,1,8,4,4,4,2,success
790,10,333b,,8,8,0,4,2,fail
790,10,2bc5,,8,8,0,4,2,fail
790,17,333b,2,8,0,8,4,2,success
790,17,2bc5,3,8,4,4,4,2,success
792,10,efde,0,8,0,8,4,2,success
792,10,1f0e,1,8,4,4,4,2,success
792,10,7a8e,,8,8,0,4,2,fail
792,10,b17a,,8,8,0,4,2,fail
792,17,7a8e,2,8,0,8,4,2,success
792,17,b17a,3,8,4,4,4,2,success
794,10,b283,0,8,0,8,4,2,success
794,10,e16b,1,8,4,4,4,2,success
794,10,8f9c,,8,8,0,4,2,fail
794,10,f2d5,,8,8,0,4,2,fail
794,17,8f9c,2,8,0,8,4,2,success
794,17,f2d5,3,8,4,4,4,2,success
796,10,14b2,0,8,0,8,4,2,success
796,10,d64f,1,8,4,4,4,2,success
796,10,974f,,8,8,0,4,2,fail
796,10,0e2f,,8,8,0,4,2,fail
796,17,974f,2,8,0,8,4,2,success
796,17,0e2f,3,8,4,4,4,2,success
798,10,7e66,0,8,0,8,4,2,success
798,10,a385,1,8,4,4,4,2,success
798,10,c761,,8,8,0,4,2,fail
798,10,3d59,,8,8,0,4,2,fail
798,17,c761,2,8,0,8,4,2,success
798,17,3d59,3,8,4,4,4,2,success
800,10,f4e7,0,8,0,8,4,2,success
800,10,dfc5,1,8,4,4,4,2,success
800,10,4566,,8,8,0,4,2,fail
800,10,1ea0,,8,8,0,4,2,fail
800,17,4566,2,8,0,8,4,2,success
800,17,1ea0,3,8,4,4,4,2,success
802,10,fe02,0,8,0,8,4,2,success
802,10,f640,1,8,4,4,4,2,success
802,10,bafe,,8,8,0,4,2,fail
802,10,d75d,,8,8,0,4,2,fail
802,17,bafe,2,8,0,8,4,2,success
802,17,d75d,3,8,4,4,4,2,success
804,10,4c28,0,8,0,8,4,2,success
804,10,e604,1,8,4,4,4,2,success
804,10,b54a,,8,8,0,4,2,fail
804,10,78fc,,8,8,0,4,2,fail
804,17,b54a,2,8,0,8,4,2,success
804,17,78fc,3,8,4,4,4,2,success
806,10,4f67,0,8,0,8,4,2,success
806,10,c0fe,1,8,4,4,4,2,success
806,10,fcb5,,8,8,0,4,2,fail
806,10,08a8,,8,8,0,4,2,fail
806,17,fcb5,2,8,0,8,4,2,success
806,17,08a8,3,8,4,4,4,2,success
808,10,19bf,0,8,0,8,4,2,success
808,10,aa5f,1,8,4,4,4,2,success
808,10,5823,,8,8,0,4,2,fail
808,10,41c4,,8,8,0,4,2,fail
808,17,5823,2,8,0,8,4,2,success
808,17,41c4,3,8,4,4,4,2,success
810,10,73cf,0,8,0,8,4,2,success
810,10,f672,1,8,4,4,4,2,success
810,10,786b,,8,8,0,4,2,fail
810,10,dc2e,,8,8,0,4,2,fail
810,17,786b,2,8,0,8,4,2,success
810,17,dc2e,3,8,4,4,4,2,success
812,10,ab40,0,8,0,8,4,2,success
812,10,c217,1,8,4,4,4,2,success
812,10,7a66,,8,8,0,4,2,fail
812,10,6df9,,8,8,0,4,2,fail
812,17,7a66,2,8,0,8,4,2,success
812,17,6df9,3,8,4,4,4,2,success
814,10,4b97,0,8,0,8,4,2,success
814,10,85f9,1,8,4,4,4,2,success
814,10,e6fd,,8,8,0,4,2,fail
814,10,1012,,8,8,0,4,2,fail
814,17,e6fd,2,8,0,8,4,2,success
814,17,1012,3,8,4,4,4,2,success
816,10,7f7b,0,8,0,8,4,2,success
816,10,983d,1,8,4,4,4,2,success
816,10,7053,,8,8,0,4,2,fail
816,10,4372,,8,8,0,4,2,fail
816,17,7053,2,8,0,8,4,2,success
816,17,4372,3,8,4,4,4,2,success
818,10,6aeb,0,8,0,8,4,2,success
818,10,79b1,1,8,4,4,4,2,success
818,10,fe2d,,8,8,0,4,2,fail
818,10,a8e0,,8,8,0,4,2,fail
818,17,fe2d,2,8,0,8,4,2,success
818,17,a8e0,3,8,4,4,4,2,success
820,10,d98a,0,8,0,8,4,2,success
820,10,f757,1,8,4,4,4,2,success
820,10,1ed8,,8,8,0,4,2,fail
820,10,c32b,,8,8,0,4,2,fail
820,17,1ed8,2,8,0,8,4,2,success
820,17,c32b,3,8,4,4,4,2,success
822,10,3c51,0,8,0,8,4,2,success
822,10,bd33,1,8,4,4,4,2,success
822,10,43a5,,8,8,0,4,2,fail
822,10,9378,,8,8,0,4,2,fail
822,17,43a5,2,8,0,8,4,2,success
822,17,9378,3,8,4,4,4,2,success
824,10,ea91,0,8,0,8,4,2,success
824,10,f130,1,8,4,4,4,2,success
824,10,da22,,8,8,0,4,2,fail
824,10,36b6,,8,8,0,4,2,fail
824,17,da22,2,8,0,8,4,2,success
824,17,36b6,3,8,4,4,4,2,success
826,10,9dcd,0,8,0,8,4,2,success
826,10,37da,1,8,4,4,4,2,success
826,10,2ec1,,8,8,0,4,2,fail
826,10,dd87,,8,8,0,4,2,fail
826,17,2ec1,2,8,0,8,4,2,success
826,17,dd87,3,8,4,4,4,2,success
828,10,9466,0,8,0,8,4,2,success
828,10,6826,1,8,4,4,4,2,success
828,10,916c,,8,8,0,4,2,fail
828,10,2757,,8,8,0,4,2,fail
828,17,916c,2,8,0,8,4,2,success
828,17,2757,3,8,4,4,4,2,success
830,10,4b80,0,8,0,8,4,2,success
830,10,54ac,1,8,4,4,4,2,success
830,10,6c95,,8,8,0,4,2,fail
830,10,953c,,8,8,0,4,2,fail
830,17,6c95,2,8,0,8,4,2,success
830,17,953c,3,8,4,4,4,2,success
832,10,b407,0,8,0,8,4,2,success
832,10,f2b4,1,8,4,4,4,2,success
832,10,388a,,8,8,0,4,2,fail
832,10,8f51,,8,8,0,4,2,fail
832,17,388a,2,8,0,8,4,2,success
832,17,8f51,3,8,4,4,4,2,success
