experiment,duration_sec,rapp_duration_sec,analysis_window_sec,latency_sec
209,5.58,1.091,10.0,16.671
210,5.586,1.3,10.0,16.886
211,5.585,1.096,10.0,16.681
212,5.569,1.141,10.0,16.71
213,5.588,1.126,10.0,16.714
214,5.592,1.102,10.0,16.694
215,5.587,1.025,10.0,16.612
216,5.577,1.111,10.0,16.688
217,5.976,0.988,10.0,16.964
218,5.519,1.031,10.0,16.55
219,5.553,1.011,10.0,16.564
220,5.599,1.057,10.0,16.656
221,5.602,1.235,10.0,16.837
222,5.563,0.901,10.0,16.464
