ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
6ba6,766,19,766,10,0,8,8,15
3f2e,767,7,766,17,3,0,8,7
a1cf,767,7,766,17,3,8,8,15
5d53,768,19,768,10,0,0,8,7
9307,768,19,768,10,0,8,8,15
d7f2,769,7,768,17,3,0,8,7
cb59,769,7,768,17,3,8,8,15
379a,770,19,770,10,0,0,8,7
749d,770,19,770,10,0,8,8,15
8ed1,771,7,770,17,3,0,8,7
b159,771,7,770,17,3,8,8,15
5989,772,19,772,10,0,0,8,7
82e6,772,19,772,10,0,8,8,15
fa63,773,7,772,17,3,0,8,7
33fc,773,7,772,17,3,8,8,15
654d,774,19,774,10,0,0,8,7
97b2,774,19,774,10,0,8,8,15
eb18,775,7,774,17,3,0,8,7
641d,775,7,774,17,3,8,8,15
e11e,776,19,776,10,0,0,8,7
2aca,776,19,776,10,0,8,8,15
49cd,777,7,776,17,3,0,8,7
e337,777,7,776,17,3,8,8,15
01de,778,19,778,10,0,0,8,7
2a2b,778,19,778,10,0,8,8,15
f03d,779,7,778,17,3,0,8,7
df37,779,7,778,17,3,8,8,15
5628,780,19,780,10,0,0,8,7
7220,780,19,780,10,0,8,8,15
6438,781,7,780,17,3,0,8,7
74ad,781,7,780,17,3,8,8,15
127c,782,19,782,10,0,0,8,7
b128,782,19,782,10,0,8,8,15
d9fd,783,7,782,17,3,0,8,7
ae91,783,7,782,17,3,8,8,15
bea7,784,19,784,10,0,0,8,7
56bf,784,19,784,10,0,8,8,15
072a,785,7,784,17,3,0,8,7
fa14,785,7,784,17,3,8,8,15
8566,786,19,786,10,0,0,8,7
0a3d,786,19,786,10,0,8,8,15
c6b9,787,7,786,17,3,0,8,7
bc4b,787,7,786,17,3,8,8,15
1852,788,19,788,10,0,0,8,7
4735,788,19,788,10,0,8,8,15
ce4b,789,7,788,17,3,0,8,7
53ef,789,7,788,17,3,8,8,15
1ea6,790,19,790,10,0,0,8,7
20c7,790,19,790,10,0,8,8,15
333b,791,7,790,17,3,0,8,7
2bc5,791,7,790,17,3,8,8,15
efde,792,19,792,10,0,0,8,7
1f0e,792,19,792,10,0,8,8,15
7a8e,793,7,792,17,3,0,8,7
b17a,793,7,792,17,3,8,8,15
b283,794,19,794,10,0,0,8,7
e16b,794,19,794,10,0,8,8,15
8f9c,795,7,794,17,3,0,8,7
f2d5,795,7,794,17,3,8,8,15
14b2,796,19,796,10,0,0,8,7
d64f,796,19,796,10,0,8,8,15
974f,797,7,796,17,3,0,8,7
0e2f,797,7,796,17,3,8,8,15
7e66,798,19,798,10,0,0,8,7
a385,798,19,798,10,0,8,8,15
c761,799,7,798,17,3,0,8,7
3d59,799,7,798,17,3,8,8,15
f4e7,800,19,800,10,0,0,8,7
dfc5,800,19,800,10,0,8,8,15
4566,801,7,800,17,3,0,8,7
1ea0,801,7,800,17,3,8,8,15
fe02,802,19,802,10,0,0,8,7
f640,802,19,802,10,0,8,8,15
bafe,803,7,802,17,3,0,8,7
d75d,803,7,802,17,3,8,8,15
4c28,804,19,804,10,0,0,8,7
e604,804,19,804,10,0,8,8,15
b54a,805,7,804,17,3,0,8,7
78fc,805,7,804,17,3,8,8,15
4f67,806,19,806,10,0,0,8,7
c0fe,806,19,806,10,0,8,8,15
fcb5,807,7,806,17,3,0,8,7
