ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
0d76,660,17,660,7,3,0,8,7
8923,660,17,660,7,3,8,8,15
3955,661,17,661,7,3,0,8,7
44a5,661,17,661,7,3,8,8,15
e42b,662,17,662,7,3,0,8,7
d59a,662,17,662,7,3,8,8,15
bca5,663,17,663,7,3,0,8,7
3c50,663,17,663,7,3,8,8,15
0202,664,17,664,7,3,0,8,7
3ea6,664,17,664,7,3,8,8,15
797a,665,7,664,17,3,0,8,7
e2a8,665,7,664,17,3,8,8,15
53b4,665,17,665,7,3,0,8,7
6ffb,665,17,665,7,3,8,8,15
bdc9,666,17,666,7,3,0,8,7
e638,666,17,666,7,3,8,8,15
4205,667,17,667,7,3,0,8,7
90c9,667,17,667,7,3,8,8,15
b5da,668,17,668,7,3,0,8,7
37ec,668,17,668,7,3,8,8,15
b277,669,17,669,7,3,0,8,7
75a2,669,17,669,7,3,8,8,15
6635,670,7,669,17,3,0,8,7
f777,670,7,669,17,3,8,8,15
4a16,670,17,670,7,3,0,8,7
d244,670,17,670,7,3,8,8,15
a345,671,17,671,7,3,0,8,7
0352,671,17,671,7,3,8,8,15
9196,672,17,672,7,3,0,8,7
66c4,672,17,672,7,3,8,8,15
d480,673,17,673,7,3,0,8,7
7bea,673,17,673,7,3,8,8,15
0590,674,17,674,7,3,0,8,7
72da,674,17,674,7,3,8,8,15
eb9e,675,7,674,17,3,0,8,7
45fd,675,7,674,17,3,8,8,15
9eb6,675,17,675,7,3,0,8,7
c137,675,17,675,7,3,8,8,15
3cb2,676,17,676,7,3,0,8,7
91f3,676,17,676,7,3,8,8,15
58d2,677,17,677,7,3,0,8,7
204b,677,17,677,7,3,8,8,15
c7f4,678,17,678,7,3,0,8,7
bdf1,678,17,678,7,3,8,8,15
98a1,679,17,679,7,3,0,8,7
e79f,679,17,679,7,3,8,8,15
05e4,680,7,679,17,3,0,8,7
3ac8,680,7,679,17,3,8,8,15
b40b,680,17,680,7,3,0,8,7
909c,680,17,680,7,3,8,8,15
1e83,681,17,681,7,3,0,8,7
1d71,681,17,681,7,3,8,8,15
d601,682,17,682,7,3,0,8,7
cf86,682,17,682,7,3,8,8,15
6815,683,17,683,7,3,0,8,7
3e02,683,17,683,7,3,8,8,15
9380,684,17,684,7,3,0,8,7
edb6,684,17,684,7,3,8,8,15
5072,685,7,684,17,3,0,8,7
9e0c,685,7,684,17,3,8,8,15
1625,685,17,685,7,3,0,8,7
56dd,685,17,685,7,3,8,8,15
dd3a,686,17,686,7,3,0,8,7
c2d8,686,17,686,7,3,8,8,15
aaea,687,17,687,7,3,0,8,7
957a,687,17,687,7,3,8,8,15
dab6,688,17,688,7,3,0,8,7
66d0,688,17,688,7,3,8,8,15
eef9,689,17,689,7,3,0,8,7
a378,689,17,689,7,3,8,8,15
5688,690,7,689,17,3,0,8,7
62f2,690,7,689,17,3,8,8,15
e109,690,17,690,7,3,0,8,7
0cf0,690,17,690,7,3,8,8,15
ff45,691,17,691,7,3,0,8,7
fdb9,691,17,691,7,3,8,8,15
5f1d,692,17,692,7,3,0,8,7
9198,692,17,692,7,3,8,8,15
624b,693,17,693,7,3,0,8,7
7a1e,693,17,693,7,3,8,8,15
9ca3,694,17,694,7,3,0,8,7
67a1,694,17,694,7,3,8,8,15
bfde,695,7,694,17,3,0,8,7
ccf1,695,7,694,17,3,8,8,15
b1eb,695,17,695,7,3,0,8,7
b238,695,17,695,7,3,8,8,15
e713,696,17,696,7,3,0,8,7
d423,696,17,696,7,3,8,8,15
b77b,697,17,697,7,3,0,8,7
056a,697,17,697,7,3,8,8,15
7eb2,698,17,698,7,3,0,8,7
a491,698,17,698,7,3,8,8,15
22b7,699,17,699,7,3,0,8,7
92c0,699,17,699,7,3,8,8,15
a97c,700,7,699,17,3,0,8,7
aa80,700,7,699,17,3,8,8,15
89c8,700,17,700,7,3,0,8,7
2e3d,700,17,700,7,3,8,8,15
00d9,701,17,701,7,3,0,8,7
052e,701,17,701,7,3,8,8,15
0f94,702,17,702,7,3,0,8,7
2811,702,17,702,7,3,8,8,15
f061,703,17,703,7,3,0,8,7
f97b,703,17,703,7,3,8,8,15
