run,gnb_cmdline_time,cbra_success_time,delta_sec,status
72,2026-05-29 00:10:42.420,2026-05-29 00:10:51.382,8.962,ok
73,2026-05-29 00:11:04.694,2026-05-29 00:11:13.322,8.628,ok
74,2026-05-29 00:11:26.394,2026-05-29 00:11:35.329,8.936,ok
75,2026-05-29 00:11:48.678,2026-05-29 00:11:57.328,8.65,ok
76,2026-05-29 00:12:11.616,2026-05-29 00:12:20.355,8.739,ok
77,2026-05-29 00:12:33.629,2026-05-29 00:12:42.368,8.74,ok
78,2026-05-29 00:12:55.598,2026-05-29 00:13:04.743,9.144,ok
79,2026-05-29 00:13:18.651,2026-05-29 00:13:27.495,8.844,ok
80,2026-05-29 00:13:41.659,2026-05-29 00:13:50.428,8.769,ok
81,2026-05-29 00:14:03.683,2026-05-29 00:14:12.397,8.715,ok
82,2026-05-29 00:14:25.569,2026-05-29 00:14:34.478,8.909,ok
83,2026-05-29 00:14:47.653,2026-05-29 00:14:56.371,8.717,ok
84,2026-05-29 00:15:09.773,2026-05-29 00:15:17.707,7.933,ok
85,2026-05-29 00:15:31.506,2026-05-29 00:15:38.992,7.485,ok
86,2026-05-29 00:15:52.735,2026-05-29 00:16:00.520,7.785,ok
87,2026-05-29 00:16:13.939,2026-05-29 00:16:22.502,8.563,ok
88,2026-05-29 00:16:35.709,2026-05-29 00:16:44.675,8.966,ok
89,2026-05-29 00:16:58.663,2026-05-29 00:17:07.626,8.963,ok
90,2026-05-29 00:17:20.553,2026-05-29 00:17:29.660,9.107,ok
91,2026-05-29 00:17:44.005,2026-05-29 00:17:52.783,8.778,ok
92,2026-05-29 00:18:06.975,2026-05-29 00:18:15.646,8.671,ok
93,2026-05-29 00:18:29.760,2026-05-29 00:18:38.591,8.832,ok
94,2026-05-29 00:18:51.819,2026-05-29 00:19:00.601,8.782,ok
95,2026-05-29 00:19:13.713,2026-05-29 00:19:22.620,8.907,ok
96,2026-05-29 00:19:35.854,2026-05-29 00:19:44.634,8.78,ok
97,2026-05-29 00:19:58.804,2026-05-29 00:20:07.770,8.966,ok
98,2026-05-29 00:20:20.948,2026-05-29 00:20:29.680,8.732,ok
99,2026-05-29 00:20:43.880,2026-05-29 00:20:51.629,7.748,ok
100,2026-05-29 00:21:05.402,2026-05-29 00:21:13.647,8.245,ok
101,2026-05-29 00:21:26.969,2026-05-29 00:21:35.718,8.749,ok
102,2026-05-29 00:21:50.072,2026-05-29 00:21:58.728,8.656,ok
103,2026-05-29 00:22:12.958,2026-05-29 00:22:21.665,8.707,ok
104,2026-05-29 00:22:34.841,2026-05-29 00:22:43.715,8.874,ok
105,2026-05-29 00:22:58.314,2026-05-29 00:23:06.791,8.477,ok
106,2026-05-29 00:23:19.965,2026-05-29 00:23:28.758,8.794,ok
107,2026-05-29 00:23:42.241,2026-05-29 00:23:50.879,8.638,ok
108,2026-05-29 00:24:05.095,2026-05-29 00:24:13.770,8.675,ok
109,2026-05-29 00:24:28.058,2026-05-29 00:24:36.862,8.804,ok
110,2026-05-29 00:24:51.107,2026-05-29 00:24:59.815,8.707,ok
111,2026-05-29 00:25:13.013,2026-05-29 00:25:21.802,8.789,ok
112,2026-05-29 00:25:36.117,2026-05-29 00:25:44.838,8.721,ok
113,2026-05-29 00:25:59.134,2026-05-29 00:26:08.190,9.056,ok
